name,slug,status,description,categories,level,tagline,summary,phone,email,website,booking_url,address_1,address_2,city,state,postal_code,online_only,service_area,hours,hours_note,by_appointment,facebook,instagram,linkedin,youtube,highlights,featured,member_since,year_established,employees,contact_name,contact_title,has_deal,deal_title,deal_description,deal_code,deal_expires,links,video_url
Main Street Bakery,,,"<p>Three generations of the Rossi family have baked on Main Street. Everything is made by hand each morning using locally milled flour.</p><p>We cater office breakfasts, weddings and community events. Order custom cakes at least 48 hours ahead.</p>",Food & Dining > Bakeries & Cafés,Platinum,Family-owned bakery serving Main Street since 1982,"Fresh-baked bread, pastries and custom celebration cakes made from scratch every morning.",(555) 010-1100,hello@mainstreetbakery.example.com,https://mainstreetbakery.example.com,https://mainstreetbakery.example.com/order,112 Main Street,,Springfield,IL,62701,,,mon=06:30-15:00;tue=06:30-15:00;wed=06:30-15:00;thu=06:30-15:00;fri=06:30-18:00;sat=07:00-14:00;sun=closed,Closed on major holidays,,https://facebook.com/example,https://instagram.com/example,,,family_owned|locally_owned|online_ordering|accessible,yes,2009-03-01,1982,11-50,Maria Rossi,Owner,yes,10% off for chamber members,Show your member card at the counter. Not valid with other offers.,CHAMBER10,2027-12-31,Catering menu=https://mainstreetbakery.example.com/catering;Wedding cakes=https://mainstreetbakery.example.com/weddings,https://www.youtube.com/watch?v=aqz-KE-bpKQ
Lakeside Family Dental,,,"<p>Our team of four dentists provides cleanings, fillings, crowns, Invisalign and same-day emergency care. We accept most insurance plans.</p>",Health & Wellness > Dentists,Gold,"Gentle, modern dentistry for the whole family","Preventive, cosmetic and emergency dental care with evening appointments available.",(555) 010-2200,frontdesk@lakesidedental.example.com,https://lakesidedental.example.com,https://lakesidedental.example.com/book,450 Lakeshore Drive,Suite 200,Springfield,IL,62704,,,mon=08:00-18:00;tue=08:00-18:00;wed=08:00-20:00;thu=08:00-18:00;fri=08:00-14:00;sat=closed;sun=closed,,yes,https://facebook.com/example,,,,accessible|free_parking|bilingual,yes,2014-06-15,2005,11-50,Dr. Priya Patel,Practice Owner,,,,,,,
Summit Insurance Group,,,<p>As an independent agency we compare policies from more than 20 carriers so you get the right coverage at the right price.</p>,Professional Services > Insurance,Gold,Independent agents who shop the market for you,"Home, auto, life and business insurance from an independent local agency.",(555) 010-3300,quotes@summitins.example.com,summitins.example.com,,78 Commerce Plaza,,Springfield,IL,62702,,,mon=09:00-17:00;tue=09:00-17:00;wed=09:00-17:00;thu=09:00-17:00;fri=09:00-17:00;sat=closed;sun=closed,,,,,https://linkedin.com/company/example,,locally_owned|woman_owned,,2011-01-10,1998,1-10,Jennifer Walsh,Principal Agent,,,,,,,
Riverbend Brewing Co.,,,<p>We brew small batches of ales and lagers on site. Bring the family — the patio is dog-friendly and we host trivia every Tuesday.</p>,Food & Dining > Restaurants & Bars,Silver,Small-batch craft beer on the river,"Taproom with 16 rotating taps, a riverside patio and food trucks every weekend.",(555) 010-4400,cheers@riverbendbrew.example.com,https://riverbendbrew.example.com,,9 Mill Race Road,,Springfield,IL,62703,,,mon=closed;tue=16:00-22:00;wed=16:00-22:00;thu=16:00-22:00;fri=14:00-00:00;sat=12:00-00:00;sun=12:00-20:00,,,https://facebook.com/example,https://instagram.com/example,,https://youtube.com/@example,pet_friendly|locally_owned|free_wifi,yes,2018-05-20,2016,11-50,,,yes,Free pint with any growler fill,"For chamber members, Tuesday to Thursday.",,,,
Greenline Landscaping,,,,Home & Garden > Landscaping,Member,"Design, build and maintain beautiful outdoor spaces","Residential and commercial landscape design, lawn care, irrigation and snow removal.",(555) 010-5500,info@greenline.example.com,https://greenline.example.com,,,,,,,yes,Springfield and all of Sangamon County,mon=07:00-17:00;tue=07:00-17:00;wed=07:00-17:00;thu=07:00-17:00;fri=07:00-17:00;sat=08:00-12:00;sun=closed,,,https://facebook.com/example,,,,veteran_owned|locally_owned,,2020-02-01,2012,11-50,Marcus Green,Owner,,,,,,,
Hometown Hardware,,,,Retail > Hardware & Home Improvement,Silver,Helpful hardware advice since 1956,"Tools, paint, keys, plumbing and electrical supplies with knowledgeable, friendly staff.",(555) 010-6600,,https://hometownhardware.example.com,,301 Oak Avenue,,Springfield,IL,62701,,,mon=08:00-19:00;tue=08:00-19:00;wed=08:00-19:00;thu=08:00-19:00;fri=08:00-19:00;sat=08:00-18:00;sun=10:00-16:00,,,,,,,family_owned|free_parking|accessible,,1990-01-01,1956,11-50,,,,,,,,,
Bright Futures Learning Center,,,,Education & Childcare,Member,Play-based preschool and after-school programs,Licensed childcare for ages 6 weeks to 12 years with a play-based curriculum.,(555) 010-7700,enroll@brightfutures.example.com,https://brightfutures.example.com,,55 Maple Street,,Chatham,IL,62629,,,mon=06:30-18:30;tue=06:30-18:30;wed=06:30-18:30;thu=06:30-18:30;fri=06:30-18:30;sat=closed;sun=closed,,,https://facebook.com/example,,,,woman_owned|minority_owned|bilingual,,2021-09-01,2015,11-50,Aisha Johnson,Director,,,,,,,
Prairie Physical Therapy,,,,Health & Wellness > Physical Therapy,Member,Get back to doing what you love,"One-on-one physical therapy for sports injuries, post-surgery recovery and chronic pain.",(555) 010-8800,care@prairiept.example.com,https://prairiept.example.com,https://prairiept.example.com/appointments,1200 Wabash Avenue,Unit 4,Springfield,IL,62704,,,mon=07:00-19:00;tue=07:00-19:00;wed=07:00-19:00;thu=07:00-19:00;fri=07:00-15:00;sat=08:00-12:00;sun=closed,,,,,,,accessible|free_parking,,2019-04-01,2017,1-10,,,,,,,,,
Capitol City Credit Union,,,"<p>Capitol City Credit Union has served central Illinois for over 60 years. As a not-for-profit cooperative, we return our earnings to members through better rates and lower fees.</p>",Financial Services > Banks & Credit Unions,Platinum,Banking that puts members first,"Checking, savings, mortgages and small-business loans from a member-owned credit union.",(555) 010-9900,,https://capitolcitycu.example.com,,600 Capitol Avenue,,Springfield,IL,62701,,,mon=09:00-17:00;tue=09:00-17:00;wed=09:00-17:00;thu=09:00-17:00;fri=09:00-18:00;sat=09:00-12:00;sun=closed,,,https://facebook.com/example,,https://linkedin.com/company/example,https://youtube.com/@example,accessible|free_parking|bilingual|nonprofit,,1995-01-01,1962,51-200,,,,,,,,Open an account=https://capitolcitycu.example.com/join;Rates=https://capitolcitycu.example.com/rates,
Pixel & Pine Web Studio,,,,Professional Services > Marketing & Web Design,Member,Websites that work as hard as you do,"Web design, SEO and social media management for small businesses and nonprofits.",(555) 011-0101,hi@pixelandpine.example.com,https://pixelandpine.example.com,,,,,,,yes,Remote — serving businesses across Illinois,,,yes,,https://instagram.com/example,https://linkedin.com/company/example,,woman_owned|locally_owned,,2022-01-15,2020,1-10,Sam Rivera,Founder,yes,Free website check-up for members,"A 30-minute review of your site speed, SEO and mobile experience.",,,,
The Velvet Chair Salon,,,,Beauty & Personal Care > Hair Salons,Member,"Cuts, color and good conversation","Full-service hair salon specializing in color, balayage and bridal styling.",(555) 011-0202,,https://velvetchair.example.com,https://velvetchair.example.com/book,27 Adams Street,,Springfield,IL,62701,,,mon=closed;tue=10:00-19:00;wed=10:00-19:00;thu=10:00-20:00;fri=09:00-18:00;sat=08:00-16:00;sun=closed,,,,https://instagram.com/example,,,woman_owned|minority_owned,,2016-08-01,2014,1-10,,,,,,,,,
Sangamon Valley Food Pantry,,,<p>We distribute groceries to more than 800 families each month. No appointment is needed during distribution hours.</p>,Nonprofits & Community,Member,Neighbors helping neighbors,Free groceries for families in need. Volunteers and donations always welcome.,(555) 011-0303,volunteer@svpantry.example.org,https://svpantry.example.org,,14 Church Street,,Springfield,IL,62702,,,mon=closed;tue=10:00-14:00;wed=closed;thu=16:00-19:00;fri=closed;sat=09:00-12:00;sun=closed,,,https://facebook.com/example,,,,nonprofit|accessible,,2012-01-01,1987,1-10,,,,,,,,Donate=https://svpantry.example.org/donate;Volunteer=https://svpantry.example.org/volunteer,
24/7 Fitness Hub,,,,Health & Wellness > Gyms & Fitness,Silver,Train on your schedule,"Open around the clock with free weights, cardio, group classes and personal training.",(555) 011-0404,,https://fitnesshub.example.com,,880 Veterans Parkway,,Springfield,IL,62704,,,mon=24h;tue=24h;wed=24h;thu=24h;fri=24h;sat=24h;sun=24h,,,,https://instagram.com/example,,,free_parking|free_wifi|accessible,,2019-11-01,2018,11-50,,,yes,No enrollment fee for chamber members,,FITCHAMBER,,,
Oak & Iron Furniture Co.,,,,Retail > Furniture & Home Décor,Member,"Handcrafted furniture, built to last generations","Solid hardwood tables, beds and custom pieces made in our Springfield workshop.",(555) 011-0505,studio@oakandiron.example.com,https://oakandiron.example.com,,2100 Industrial Drive,,Springfield,IL,62703,,,mon=10:00-18:00;tue=10:00-18:00;wed=10:00-18:00;thu=10:00-18:00;fri=10:00-18:00;sat=10:00-16:00;sun=closed,,,,https://instagram.com/example,,,locally_owned|veteran_owned|delivery,,2023-02-01,2019,1-10,,,,,,,,,
